epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3004,2.97609,6.22001,2.17691,0.00047,0.00722,0.00028,6e-05,2.54676,4.31757,1.81404,0.00015453,0.00015453,0.00015453
2,19.1559,2.5247,4.85778,1.70193,0.00113,0.03657,0.00529,0.00156,2.32962,3.9721,1.56608,0.000315,0.000315,0.000315
3,24.7928,2.40661,3.96369,1.57383,0.00268,0.13846,0.02809,0.01021,2.32202,3.60412,1.64282,0.000472231,0.000472231,0.000472231
4,30.4378,2.399,3.85734,1.5729,0.00263,0.12173,0.01549,0.00668,2.33329,3.54695,1.67697,0.000626222,0.000626222,0.000626222
5,40.2611,2.42932,3.75912,1.63874,0.54503,0.03986,0.02354,0.01004,2.41036,3.41241,1.7621,0.000776973,0.000776973,0.000776973
6,47.0597,2.33569,3.3712,1.57633,0.75849,0.0709,0.04986,0.01797,2.24523,2.84907,1.62158,0.000864004,0.000864004,0.000864004
7,52.3758,2.27533,3.49996,1.54006,0.42464,0.06099,0.04315,0.01518,2.25532,2.87191,1.6026,0.000855005,0.000855005,0.000855005
8,57.7425,2.23407,3.30736,1.57127,0.64539,0.07942,0.08038,0.03412,2.14325,2.95627,1.53965,0.000846006,0.000846006,0.000846006
9,63.0225,2.21633,3.21317,1.53743,0.52848,0.04562,0.07182,0.03205,2.13999,2.90833,1.49981,0.000837007,0.000837007,0.000837007
10,68.4488,2.21151,3.276,1.52613,0.66517,0.14567,0.11742,0.04336,2.12678,2.57306,1.51712,0.000828008,0.000828008,0.000828008
11,74.0437,2.13037,2.9549,1.48076,0.50269,0.10941,0.09811,0.0395,2.16288,2.62637,1.53915,0.000819009,0.000819009,0.000819009
12,79.7572,2.12406,3.03561,1.50047,0.612,0.15985,0.10167,0.04072,2.06519,2.52233,1.49825,0.00081001,0.00081001,0.00081001
13,85.3056,2.1897,3.04691,1.53604,0.61929,0.18046,0.11756,0.05128,2.1296,3.15441,1.58185,0.000801011,0.000801011,0.000801011
14,90.9806,2.08736,2.84405,1.47559,0.51481,0.17481,0.14472,0.07004,2.01705,2.41768,1.52016,0.000792012,0.000792012,0.000792012
15,96.5648,2.08771,2.8303,1.46571,0.53286,0.19035,0.15225,0.06726,2.00093,2.33907,1.52027,0.000783013,0.000783013,0.000783013
16,102.055,2.07335,2.75571,1.48998,0.53169,0.15131,0.24436,0.09887,2.06194,2.57118,1.52286,0.000774013,0.000774013,0.000774013
17,107.518,2.03264,2.70957,1.46113,0.65508,0.20342,0.17968,0.07075,1.9604,2.26151,1.44838,0.000765014,0.000765014,0.000765014
18,113.033,2.01265,2.62302,1.43001,0.50596,0.24994,0.17916,0.07138,1.89465,2.16098,1.44543,0.000756015,0.000756015,0.000756015
19,118.387,1.9875,2.60337,1.45497,0.33885,0.24062,0.20817,0.077,1.87739,2.19329,1.43189,0.000747016,0.000747016,0.000747016
20,123.616,1.98341,2.52739,1.40985,0.39155,0.19379,0.21788,0.10779,1.85881,2.11171,1.40237,0.000738017,0.000738017,0.000738017
21,128.959,2.00115,2.47714,1.44366,0.36112,0.25769,0.21858,0.10927,1.87482,2.12003,1.40648,0.000729018,0.000729018,0.000729018
22,134.509,1.94552,2.42985,1.38486,0.38356,0.25278,0.2314,0.11241,1.83049,2.06533,1.39366,0.000720019,0.000720019,0.000720019
23,140.012,1.95175,2.33528,1.40446,0.55618,0.25987,0.30702,0.15363,1.81996,2.06937,1.40276,0.00071102,0.00071102,0.00071102
24,145.633,1.98377,2.38382,1.41426,0.69047,0.2195,0.27494,0.13362,1.78907,2.05486,1.37578,0.000702021,0.000702021,0.000702021
25,151.404,1.92423,2.23955,1.39768,0.53735,0.24777,0.29746,0.13088,1.89097,2.02614,1.37455,0.000693022,0.000693022,0.000693022
26,157.181,1.90231,2.36215,1.35723,0.57903,0.32672,0.28941,0.13663,1.8541,1.93559,1.34719,0.000684022,0.000684022,0.000684022
27,162.96,1.95841,2.20673,1.40469,0.53462,0.27969,0.31925,0.16224,1.74775,1.88798,1.34418,0.000675023,0.000675023,0.000675023
28,168.727,1.85275,2.21601,1.36222,0.51448,0.2837,0.25777,0.12289,1.79149,2.2348,1.37158,0.000666024,0.000666024,0.000666024
29,174.426,1.85502,2.08942,1.33367,0.57802,0.26457,0.32718,0.14037,1.73695,1.85564,1.33705,0.000657025,0.000657025,0.000657025
30,180.023,1.81206,2.08563,1.33141,0.57547,0.32636,0.30029,0.14374,1.73519,1.79583,1.31549,0.000648026,0.000648026,0.000648026
31,185.63,1.83746,2.08616,1.35448,0.52175,0.33046,0.39572,0.16563,1.70388,1.83734,1.30164,0.000639027,0.000639027,0.000639027
32,191.222,1.8678,2.11576,1.35815,0.43891,0.30882,0.36303,0.2006,1.71359,1.83503,1.29705,0.000630028,0.000630028,0.000630028
33,196.631,1.85845,2.12816,1.32846,0.66184,0.33419,0.37067,0.18937,1.67223,1.7142,1.29614,0.000621029,0.000621029,0.000621029
34,202.118,1.83176,2.0718,1.33378,0.55869,0.37357,0.44832,0.23106,1.66428,1.68865,1.27286,0.00061203,0.00061203,0.00061203
35,207.59,1.77957,2.03134,1.32864,0.44164,0.37261,0.44554,0.23312,1.67262,1.71194,1.27239,0.000603031,0.000603031,0.000603031
36,213.186,1.72777,1.84774,1.28409,0.35361,0.52365,0.49723,0.28199,1.61986,1.68127,1.24607,0.000594031,0.000594031,0.000594031
37,218.756,1.77669,1.90078,1.29396,0.34508,0.54138,0.47773,0.26812,1.60612,1.70708,1.24559,0.000585032,0.000585032,0.000585032
38,224.323,1.74474,1.89491,1.27788,0.65625,0.36064,0.48447,0.27405,1.63466,1.6671,1.26085,0.000576033,0.000576033,0.000576033
39,229.803,1.74858,1.91641,1.2873,0.65922,0.39585,0.47551,0.2825,1.61745,1.70573,1.25992,0.000567034,0.000567034,0.000567034
40,235.345,1.73133,1.89092,1.27353,0.48393,0.48062,0.52713,0.31315,1.5447,1.52233,1.20796,0.000558035,0.000558035,0.000558035
41,240.785,1.66976,1.7946,1.22515,0.53247,0.44019,0.51824,0.3077,1.59982,1.70049,1.23685,0.000549036,0.000549036,0.000549036
